iter	Passed	Remaining
1408	96430	40447
1409	96502	40380
1410	96563	40308
1411	96625	40237
1412	96690	40167
1413	96753	40097
1414	96817	40027
1415	96884	39957
1416	96945	39886
1417	97012	39817
1418	97078	39748
1419	97147	39680
1420	97210	39609
1421	97281	39542
1422	97343	39470
1423	97410	39401
1424	97474	39331
1425	97538	39261
1426	97598	39189
1427	97670	39122
1428	97736	39053
1429	97803	38984
1430	97869	38915
1431	97931	38844
1432	97998	38775
1433	98067	38707
1434	98133	38637
1435	98194	38566
1436	98264	38498
1437	98327	38428
1438	98393	38359
1439	98460	38290
1440	98528	38221
1441	98595	38152
1442	98665	38085
1443	98723	38012
1444	98786	37942
1445	98857	37874
1446	98921	37805
1447	98988	37735
1448	99058	37668
1449	99118	37596
1450	99183	37526
1451	99259	37461
1452	99321	37390
1453	99390	37322
1454	99456	37253
1455	99522	37184
1456	99579	37111
1457	99651	37044
1458	99716	36975
1459	99785	36906
1460	99852	36838
1461	99914	36767
1462	99974	36695
1463	100047	36629
1464	100111	36559
1465	100174	36489
1466	100248	36422
1467	100316	36354
1468	100385	36286
1469	100448	36216
1470	100516	36147
1471	100580	36077
1472	100650	36009
1473	100712	35939
1474	100777	35869
1475	100847	35802
1476	100908	35731
1477	100972	35661
1478	101045	35594
1479	101107	35524
1480	101180	35457
1481	101245	35388
1482	101308	35317
1483	101369	35247
1484	101439	35179
1485	101510	35111
1486	101578	35043
1487	101647	34975
1488	101713	34906
1489	101775	34835
1490	101835	34764
1491	101906	34697
1492	101971	34628
1493	102037	34558
1494	102099	34488
1495	102169	34420
1496	102230	34349
1497	102288	34278
1498	102360	34211
1499	102427	34142
1500	102495	34074
1501	102563	34005
1502	102624	33935
1503	102684	33863
1504	102755	33796
1505	102816	33726
1506	102901	33663
1507	102983	33599
1508	103061	33534
1509	103147	33471
1510	103225	33406
1511	103306	33342
1512	103404	33283
1513	103489	33220
1514	103557	33152
1515	103630	33085
1516	103697	33016
1517	103759	32946
1518	103823	32876
1519	103895	32809
1520	103958	32738
1521	104022	32669
1522	104117	32609
1523	104183	32540
1524	104256	32473
1525	104316	32402
1526	104377	32331
1527	104441	32262
1528	104514	32195
1529	104581	32126
1530	104644	32056
